player,Total_Balls,Risk_Score,Risk_Level
M Klinger,78,0.78,Low
RR Sarwan,78,0.78,Low
Kamran Akmal,78,0.78,Low
R Sharma,77,0.77,Low
CR Woakes,77,0.77,Low
AP Majumdar,77,0.77,Low
MJ Santner,77,0.77,Low
MS Gony,76,0.76,Low
WA Mota,76,0.76,Low
MP Yadav,76,0.76,Low
RV Patel,76,0.76,Low
JJ van der Wath,76,0.76,Low
LJ Wright,75,0.75,Low
WA Mota,75,0.75,Low
PN Mankad,75,0.75,Low
NM Coulter-Nile,75,0.75,Low
A Chopra,75,0.75,Low
Yudhvir Singh,74,0.74,Low
TP Sudhindra,74,0.74,Low
RE Levi,74,0.74,Low
WPUJC Vaas,73,0.73,Low
Sandeep Sharma,73,0.73,Low
AP Dole,73,0.73,Low
MJ McClenaghan,73,0.73,Low
VR Aaron,73,0.73,Low
Y Nagar,72,0.72,Low
M Jansen,71,0.71,Low
LA Carseldine,71,0.71,Low
I Sharma,71,0.71,Low
KK Cooper,70,0.7,Low
M Rawat,70,0.7,Low
Anirudh Singh,69,0.69,Low
Ankit Sharma,69,0.69,Low
DNT Zoysa,69,0.69,Low
R Shepherd,68,0.68,Low
A Kamboj,68,0.68,Low
SM Harwood,67,0.67,Low
P Dubey,67,0.67,Low
K Goel,67,0.67,Low
HR Shokeen,67,0.67,Low
Arshad Khan,67,0.67,Low
Yashpal Singh,67,0.67,Low
A Flintoff,66,0.66,Low
MG Bracewell,66,0.66,Low
MJ Clarke,66,0.66,Low
DJ Willey,64,0.64,Low
RR Powar,64,0.64,Low
Mohammad Hafeez,63,0.63,Low
A Nehra,63,0.63,Low
O Thomas,63,0.63,Low
LJ Wright,63,0.63,Low
J Suchith,62,0.62,Low
DL Chahar,61,0.61,Low
AG Paunikar,61,0.61,Low
JW Hastings,61,0.61,Low
SK Trivedi,61,0.61,Low
V Viyaskanth,60,0.6,Low
AU Rashid,60,0.6,Low
SA Abbott,59,0.59,Low
TR Birt,59,0.59,Low
S Aravind,59,0.59,Low
TM Head,58,0.58,Low
M Siddharth,58,0.58,Low
Shivam Mavi,58,0.58,Low
Shoaib Malik,58,0.58,Low
SB Bangar,58,0.58,Low
Vishnu Vinod,58,0.58,Low
A Flintoff,57,0.57,Low
SP Jackson,57,0.57,Low
S Sreesanth,57,0.57,Low
ND Doshi,57,0.57,Low
B Akhil,57,0.57,Low
K Upadhyay,56,0.56,Low
AC Voges,56,0.56,Low
GD Phillips,55,0.55,Low
KA Jamieson,55,0.55,Low
SB Joshi,55,0.55,Low
WG Jacks,55,0.55,Low
Abdul Samad,55,0.55,Low
T Kohler-Cadmore,54,0.54,Low
DJ Thornely,54,0.54,Low
K Yadav,54,0.54,Low
KB Arun Karthik,53,0.53,Low
NS Naik,53,0.53,Low
RV Gomez,53,0.53,Low
R Rampaul,52,0.52,Low
